type,item_id,config,config_ts,value,name
tsmnode,6771,CfgTsmNodeTcp_address,2021-02-12 22:40:56,10.100.3.118,090817.CA_CPNTA
tsmnode,6771,CfgTsmNodeTcp_name,2021-02-12 22:40:56,CACPNTAOLD,090817.CA_CPNTA
tsmnode,6771,CfgTsmNodeTotalFileSpaces,2021-02-12 22:40:56,2,090817.CA_CPNTA
tsmnode,6771,CfgTsmNodeTransport_method,2021-02-12 22:40:56,Unknown,090817.CA_CPNTA
tsmnode,6771,CfgTsmNodeTxngroupmax,2021-02-12 22:40:56,0,090817.CA_CPNTA
tsmnode,6771,CfgTsmNodeUrl,2021-02-12 22:40:56,"",090817.CA_CPNTA
tsmnode,6771,CfgTsmNodeUtilityurl,2021-02-12 22:40:56,"",090817.CA_CPNTA
tsmnode,6771,CfgTsmNodeValidateprotocol,2021-02-12 22:40:56,NO,090817.CA_CPNTA
tsmnode,6774,CfgCollectionInterval,2021-02-12 22:40:56,300,AIDB1
tsmnode,6774,CfgName,2021-02-12 22:40:56,AIDB1,AIDB1
tsmnode,6774,CfgTsmNodeAggregation,2021-02-12 22:40:56,YES,AIDB1
tsmnode,6774,CfgTsmNodeArchdelete,2021-02-12 22:40:56,YES,AIDB1
tsmnode,6774,CfgTsmNodeAtrisk_interval,2021-02-12 22:40:56,"",AIDB1
tsmnode,6774,CfgTsmNodeAtrisk_type,2021-02-12 22:40:56,"",AIDB1
tsmnode,6774,CfgTsmNodeAuthentication,2021-02-12 22:40:56,Local,AIDB1
tsmnode,6774,CfgTsmNodeAuto_fs_rename,2021-02-12 22:40:56,NO,AIDB1
tsmnode,6774,CfgTsmNodeBackdelete,2021-02-12 22:40:56,NO,AIDB1
tsmnode,6774,CfgTsmNodeBackup_initiation,2021-02-12 22:40:56,ALL,AIDB1
tsmnode,6774,CfgTsmNodeClientVersion,2021-02-12 22:40:56,7.1.8.5,AIDB1
tsmnode,6774,CfgTsmNodeClient_hla,2021-02-12 22:40:56,"",AIDB1
tsmnode,6774,CfgTsmNodeClient_lla,2021-02-12 22:40:56,"",AIDB1
tsmnode,6774,CfgTsmNodeClient_os_level,2021-02-12 22:40:56,6.01,AIDB1
tsmnode,6774,CfgTsmNodeClient_os_name,2021-02-12 22:40:56,WIN:Microsoft Windows Server 2008 R2 Enterprise ,AIDB1
tsmnode,6774,CfgTsmNodeClient_products,2021-02-12 22:40:56,BA,AIDB1
tsmnode,6774,CfgTsmNodeClient_system_architecture,2021-02-12 22:40:56,x64,AIDB1
tsmnode,6774,CfgTsmNodeClient_target_level,2021-02-12 22:40:56,"",AIDB1
tsmnode,6774,CfgTsmNodeClient_target_release,2021-02-12 22:40:56,"",AIDB1
tsmnode,6774,CfgTsmNodeClient_target_sublevel,2021-02-12 22:40:56,"",AIDB1
tsmnode,6774,CfgTsmNodeClient_target_version,2021-02-12 22:40:56,"",AIDB1
tsmnode,6774,CfgTsmNodeCollocgroup_name,2021-02-12 22:40:56,"",AIDB1
tsmnode,6774,CfgTsmNodeCompression,2021-02-12 22:40:56,CLIENT,AIDB1
tsmnode,6774,CfgTsmNodeContact,2021-02-12 22:40:56,"",AIDB1
tsmnode,6774,CfgTsmNodeDatareadpath,2021-02-12 22:40:56,ANY,AIDB1
tsmnode,6774,CfgTsmNodeDatawritepath,2021-02-12 22:40:56,ANY,AIDB1
tsmnode,6774,CfgTsmNodeDecomm_date,2021-02-12 22:40:56,"",AIDB1
tsmnode,6774,CfgTsmNodeDecomm_state,2021-02-12 22:40:56,"",AIDB1
tsmnode,6774,CfgTsmNodeDeduplication,2021-02-12 22:40:56,ClientOrServer,AIDB1
tsmnode,6774,CfgTsmNodeDomain_name,2021-02-12 22:40:56,CORP-DR,AIDB1
tsmnode,6774,CfgTsmNodeEmail_address,2021-02-12 22:40:56,"",AIDB1
tsmnode,6774,CfgTsmNodeGuid,2021-02-12 22:40:56,5e.00.14.c0.0b.fa.11.e3.85.38.00.50.56.a0.2c.d4,AIDB1
tsmnode,6774,CfgTsmNodeHypervisor,2021-02-12 22:40:56,VMware,AIDB1
tsmnode,6774,CfgTsmNodeInstanceName,2021-02-12 22:40:56,CORP-DR,AIDB1
tsmnode,6774,CfgTsmNodeInvalid_pw_count,2021-02-12 22:40:56,0,AIDB1
tsmnode,6774,CfgTsmNodeKeep_mp,2021-02-12 22:40:56,NO,AIDB1
tsmnode,6774,CfgTsmNodeLast_replicated_to_server,2021-02-12 22:40:56,"",AIDB1
tsmnode,6774,CfgTsmNodeLastsess_commmeth,2021-02-12 22:40:56,Tcp/Ip,AIDB1
tsmnode,6774,CfgTsmNodeLocked,2021-02-12 22:40:56,NO,AIDB1
tsmnode,6774,CfgTsmNodeMacaddr,2021-02-12 22:40:56,00:50:56:A0:2C:D4,AIDB1
tsmnode,6774,CfgTsmNodeMax_mp_allowed,2021-02-12 22:40:56,2,AIDB1
tsmnode,6774,CfgTsmNodeNode_id,2021-02-12 22:40:56,191,AIDB1
tsmnode,6774,CfgTsmNodeNodegroup,2021-02-12 22:40:56,"",AIDB1
tsmnode,6774,CfgTsmNodeNodetype,2021-02-12 22:40:56,CLIENT,AIDB1
tsmnode,6774,CfgTsmNodeOption_set,2021-02-12 22:40:56,AIDB1,AIDB1
tsmnode,6774,CfgTsmNodePapi,2021-02-12 22:40:56,NO,AIDB1
tsmnode,6774,CfgTsmNodePassexp,2021-02-12 22:40:56,0,AIDB1
tsmnode,6774,CfgTsmNodePbrand,2021-02-12 22:40:56,Xeon,AIDB1
tsmnode,6774,CfgTsmNodePcount,2021-02-12 22:40:56,2,AIDB1
tsmnode,6774,CfgTsmNodePlatform_name,2021-02-12 22:40:56,WinNT,AIDB1
tsmnode,6774,CfgTsmNodePmodel,2021-02-12 22:40:56,E5-2680,AIDB1
tsmnode,6774,CfgTsmNodeProxy_agent,2021-02-12 22:40:56,"",AIDB1
tsmnode,6774,CfgTsmNodeProxy_target,2021-02-12 22:40:56,AIDBCLUSTER,AIDB1
tsmnode,6774,CfgTsmNodePtype,2021-02-12 22:40:56,8,AIDB1
tsmnode,6774,CfgTsmNodePvendor,2021-02-12 22:40:56,Intel,AIDB1
tsmnode,6774,CfgTsmNodePwset_time,2021-02-12 22:40:56,1467825355,AIDB1
tsmnode,6774,CfgTsmNodeRecover_damaged,2021-02-12 22:40:56,YES,AIDB1
tsmnode,6774,CfgTsmNodeReg_admin,2021-02-12 22:40:56,TSMADMIN,AIDB1
tsmnode,6774,CfgTsmNodeRegistrationTime,2021-02-12 22:40:56,1470334621,AIDB1
tsmnode,6774,CfgTsmNodeRepl_arrule,2021-02-12 22:40:56,DEFAULT,AIDB1
tsmnode,6774,CfgTsmNodeRepl_bkrule,2021-02-12 22:40:56,DEFAULT,AIDB1
tsmnode,6774,CfgTsmNodeRepl_mode,2021-02-12 22:40:56,SEND,AIDB1
tsmnode,6774,CfgTsmNodeRepl_sprule,2021-02-12 22:40:56,DEFAULT,AIDB1
tsmnode,6774,CfgTsmNodeRepl_state,2021-02-12 22:40:56,ENABLED,AIDB1
tsmnode,6774,CfgTsmNodeReplication_primary_server,2021-02-12 22:40:56,"",AIDB1
tsmnode,6774,CfgTsmNodeRole,2021-02-12 22:40:56,SERVER,AIDB1
tsmnode,6774,CfgTsmNodeRole_o,2021-02-12 22:40:56,USEREPORTED,AIDB1
tsmnode,6774,CfgTsmNodeScanerror,2021-02-12 22:40:56,NO,AIDB1
